id,date,questions,answers
1,2010-10-01,742,1561
2,2010-10-02,400,783
3,2010-10-03,388,771
4,2010-10-04,762,1474
5,2010-10-05,821,1639
6,2010-10-06,876,1730
7,2010-10-07,854,1719
8,2010-10-08,793,1589
9,2010-10-09,327,641
10,2010-10-10,436,844
11,2010-10-11,780,1544
12,2010-10-12,863,1775
13,2010-10-13,883,1735
14,2010-10-14,911,1815
15,2010-10-15,785,1677
16,2010-10-16,423,889
17,2010-10-17,434,909
18,2010-10-18,825,1681
19,2010-10-19,892,1834
20,2010-10-20,913,1819
21,2010-10-21,942,1890
22,2010-10-22,851,1726
23,2010-10-23,488,994
24,2010-10-24,450,903
25,2010-10-25,848,1719
26,2010-10-26,897,1814
27,2010-10-27,953,1915
28,2010-10-28,907,1853
29,2010-10-29,830,1724
30,2010-10-30,468,944
31,2010-10-31,476,971
32,2010-11-01,825,1645
33,2010-11-02,879,1850
34,2010-11-03,934,1955
35,2010-11-04,938,1952
36,2010-11-05,831,1804
37,2010-11-06,492,994
38,2010-11-07,488,975
39,2010-11-08,893,1799
40,2010-11-09,1068,2171
41,2010-11-10,1003,2120
42,2010-11-11,1009,2069
43,2010-11-12,928,1975
44,2010-11-13,563,1125
45,2010-11-14,534,1099
46,2010-11-15,946,1967
47,2010-11-16,999,2110
48,2010-11-17,994,2126
49,2010-11-18,1050,2143
50,2010-11-19,948,2005
51,2010-11-20,563,1138
52,2010-11-21,570,1208
53,2010-11-22,1014,2165
54,2010-11-23,1078,2200
55,2010-11-24,1019,2174
56,2010-11-25,919,1852
57,2010-11-26,773,1621
58,2010-11-27,586,1180
59,2010-11-28,560,1213
60,2010-11-29,957,1966
61,2010-11-30,1057,2240
62,2010-12-01,1055,2197
63,2010-12-02,1094,2287
64,2010-12-03,989,2067
65,2010-12-04,601,1256
66,2010-12-05,616,1257
67,2010-12-06,1024,2106
68,2010-12-07,1093,2232
69,2010-12-08,1079,2217
70,2010-12-09,1082,2248
71,2010-12-10,1011,2081
72,2010-12-11,595,1239
73,2010-12-12,576,1192
74,2010-12-13,1022,2101
75,2010-12-14,1102,2275
76,2010-12-15,1087,2281
77,2010-12-16,1079,2191
78,2010-12-17,939,2004
79,2010-12-18,572,1210
80,2010-12-19,584,1205
81,2010-12-20,976,1980
82,2010-12-21,1021,2139
83,2010-12-22,1034,2112
84,2010-12-23,895,1897
85,2010-12-24,612,1271
86,2010-12-25,451,913
87,2010-12-26,479,969
88,2010-12-27,771,1546
89,2010-12-28,855,1739
90,2010-12-29,912,1863
91,2010-12-30,887,1858
92,2010-12-31,634,1350
93,2011-01-01,455,1011
94,2011-01-02,570,1235
95,2011-01-03,890,1898
96,2011-01-04,1067,2288
97,2011-01-05,1144,2381
98,2011-01-06,1144,2387
99,2011-01-07,1089,2262
100,2011-01-08,648,1362
101,2011-01-09,673,1453
102,2011-01-10,1119,2277
103,2011-01-11,1213,2471
104,2011-01-12,1226,2541
105,2011-01-13,1235,2516
106,2011-01-14,1115,2386
107,2011-01-15,677,1466
108,2011-01-16,721,1527
109,2011-01-17,1151,2326
110,2011-01-18,1208,2467
111,2011-01-19,1270,2604
112,2011-01-20,1293,2649
113,2011-01-21,1197,2473
114,2011-01-22,761,1572
115,2011-01-23,717,1533
116,2011-01-24,1222,2505
117,2011-01-25,1263,2594
118,2011-01-26,1228,2567
119,2011-01-27,1300,2629
120,2011-01-28,1194,2459
121,2011-01-29,738,1535
122,2011-01-30,742,1582
123,2011-01-31,1232,2521
124,2011-02-01,1278,2659
125,2011-02-02,1308,2710
126,2011-02-03,1326,2643
127,2011-02-04,1186,2536
128,2011-02-05,793,1627
129,2011-02-06,798,1650
130,2011-02-07,1256,2483
131,2011-02-08,1325,2627
132,2011-02-09,1352,2722
133,2011-02-10,1356,2735
134,2011-02-11,1264,2519
135,2011-02-12,775,1615
136,2011-02-13,792,1626
137,2011-02-14,1261,2490
138,2011-02-15,1362,2747
139,2011-02-16,1422,2869
140,2011-02-17,1406,2828
141,2011-02-18,1289,2650
142,2011-02-19,803,1690
143,2011-02-20,837,1745
144,2011-02-21,1331,2642
145,2011-02-22,1460,2894
146,2011-02-23,1498,3004
147,2011-02-24,1443,2948
148,2011-02-25,1325,2755
149,2011-02-26,832,1737
150,2011-02-27,814,1710
151,2011-02-28,1348,2766
152,2011-03-01,1414,2911
153,2011-03-02,1466,2963
154,2011-03-03,1441,2994
155,2011-03-04,1370,2873
156,2011-03-05,875,1851
157,2011-03-06,856,1788
158,2011-03-07,1416,2837
159,2011-03-08,1479,2948
160,2011-03-09,1568,3147
161,2011-03-10,1497,3107
162,2011-03-11,1374,2858
163,2011-03-12,840,1806
164,2011-03-13,877,1855
165,2011-03-14,1460,2874
166,2011-03-15,1510,3056
167,2011-03-16,1542,3170
168,2011-03-17,1498,3150
169,2011-03-18,1397,2897
170,2011-03-19,872,1836
171,2011-03-20,883,1818
172,2011-03-21,1441,2940
173,2011-03-22,1596,3288
174,2011-03-23,1583,3145
175,2011-03-24,1530,3217
176,2011-03-25,1390,2898
177,2011-03-26,886,1855
178,2011-03-27,932,1934
179,2011-03-28,1483,3023
180,2011-03-29,1555,3229
181,2011-03-30,1504,3167
182,2011-03-31,1581,3228
183,2011-04-01,1394,2908
184,2011-04-02,882,1855
185,2011-04-03,909,1872
186,2011-04-04,1458,2910
187,2011-04-05,1619,3273
188,2011-04-06,1647,3319
189,2011-04-07,1625,3357
190,2011-04-08,1457,3078
191,2011-04-09,914,1877
192,2011-04-10,911,1890
193,2011-04-11,1543,3131
194,2011-04-12,1622,3273
195,2011-04-13,1603,3310
196,2011-04-14,1600,3243
197,2011-04-15,1450,2984
198,2011-04-16,947,1935
199,2011-04-17,935,1930
200,2011-04-18,1515,3059
201,2011-04-19,1630,3248
202,2011-04-20,1633,3220
203,2011-04-21,1508,3162
204,2011-04-22,1243,2530
205,2011-04-23,923,1887
206,2011-04-24,878,1855
207,2011-04-25,1295,2593
208,2011-04-26,1560,3157
209,2011-04-27,1671,3334
210,2011-04-28,1630,3374
211,2011-04-29,1429,2926
212,2011-04-30,962,1945
213,2011-05-01,964,1975
214,2011-05-02,1415,2795
215,2011-05-03,1570,3203
216,2011-05-04,1639,3353
217,2011-05-05,1667,3336
218,2011-05-06,1511,3090
219,2011-05-07,941,1942
220,2011-05-08,925,1919
221,2011-05-09,1543,3016
222,2011-05-10,1666,3340
223,2011-05-11,1700,3363
224,2011-05-12,1662,3318
225,2011-05-13,1555,3185
226,2011-05-14,942,1975
227,2011-05-15,941,1938
228,2011-05-16,1557,3106
229,2011-05-17,1634,3315
230,2011-05-18,1667,3350
231,2011-05-19,1645,3320
232,2011-05-20,1534,3119
233,2011-05-21,935,1948
234,2011-05-22,948,1951
235,2011-05-23,1578,3154
236,2011-05-24,1664,3369
237,2011-05-25,1688,3456
238,2011-05-26,1704,3405
239,2011-05-27,1488,3117
240,2011-05-28,925,1984
241,2011-05-29,919,1931
242,2011-05-30,1355,2721
243,2011-05-31,1592,3246
244,2011-06-01,1694,3500
245,2011-06-02,1554,3176
246,2011-06-03,1492,3081
247,2011-06-04,948,1993
248,2011-06-05,978,2042
249,2011-06-06,1593,3133
250,2011-06-07,1629,3335
251,2011-06-08,1682,3352
252,2011-06-09,1717,3415
253,2011-06-10,1542,3193
254,2011-06-11,931,1978
255,2011-06-12,954,2001
256,2011-06-13,1545,3091
257,2011-06-14,1667,3456
258,2011-06-15,1721,3501
259,2011-06-16,1726,3518
260,2011-06-17,1563,3309
261,2011-06-18,1005,2096
262,2011-06-19,951,2004
263,2011-06-20,1634,3257
264,2011-06-21,1749,3571
265,2011-06-22,1755,3594
266,2011-06-23,1713,3522
267,2011-06-24,1568,3286
268,2011-06-25,969,2069
269,2011-06-26,966,2062
270,2011-06-27,1613,3207
271,2011-06-28,1709,3474
272,2011-06-29,1740,3500
273,2011-06-30,1698,3445
274,2011-07-01,1490,3132
275,2011-07-02,946,1997
276,2011-07-03,963,2010
277,2011-07-04,1425,2842
278,2011-07-05,1676,3341
279,2011-07-06,1754,3524
280,2011-07-07,1773,3530
281,2011-07-08,1644,3379
282,2011-07-09,1001,2151
283,2011-07-10,995,2060
284,2011-07-11,1717,3421
285,2011-07-12,1795,3655
286,2011-07-13,1789,3630
287,2011-07-14,1795,3552
288,2011-07-15,1628,3364
289,2011-07-16,1024,2210
290,2011-07-17,1012,2175
291,2011-07-18,1697,3388
292,2011-07-19,1811,3717
293,2011-07-20,1783,3616
294,2011-07-21,1790,3619
295,2011-07-22,1653,3395
296,2011-07-23,1039,2212
297,2011-07-24,1022,2179
298,2011-07-25,1703,3433
299,2011-07-26,1804,3567
300,2011-07-27,1848,3708
301,2011-07-28,1811,3694
302,2011-07-29,1660,3423
303,2011-07-30,1034,2205
304,2011-07-31,1030,2197
305,2011-08-01,1676,3332
306,2011-08-02,1818,3642
307,2011-08-03,1834,3710
308,2011-08-04,1920,3857
309,2011-08-05,1732,3604
310,2011-08-06,996,2076
311,2011-08-07,1067,2298
312,2011-08-08,1733,3462
313,2011-08-09,1845,3733
314,2011-08-10,1886,3798
315,2011-08-11,1893,3801
316,2011-08-12,1712,3522
317,2011-08-13,1058,2267
318,2011-08-14,1053,2255
319,2011-08-15,1598,3179
320,2011-08-16,1824,3733
321,2011-08-17,1859,3733
322,2011-08-18,1844,3771
323,2011-08-19,1718,3462
324,2011-08-20,1109,2327
325,2011-08-21,1082,2258
326,2011-08-22,1700,3484
327,2011-08-23,1819,3643
328,2011-08-24,1875,3855
329,2011-08-25,1883,3847
330,2011-08-26,1689,3506
331,2011-08-27,1078,2265
332,2011-08-28,1091,2332
333,2011-08-29,1660,3366
334,2011-08-30,1767,3661
335,2011-08-31,1797,3655
336,2011-09-01,1738,3500
337,2011-09-02,1658,3343
338,2011-09-03,1066,2240
339,2011-09-04,1071,2263
340,2011-09-05,1540,3067
341,2011-09-06,1819,3626
342,2011-09-07,1887,3699
343,2011-09-08,1854,3690
344,2011-09-09,1699,3467
345,2011-09-10,1135,2364
346,2011-09-11,1126,2338
347,2011-09-12,1760,3517
348,2011-09-13,1893,3721
349,2011-09-14,1885,3756
350,2011-09-15,1861,3750
351,2011-09-16,1713,3428
352,2011-09-17,1158,2446
353,2011-09-18,1117,2341
354,2011-09-19,1803,3517
355,2011-09-20,1892,3759
356,2011-09-21,1928,3870
357,2011-09-22,1913,3861
358,2011-09-23,1759,3567
359,2011-09-24,1162,2381
360,2011-09-25,1145,2374
361,2011-09-26,1812,3572
362,2011-09-27,1852,3799
363,2011-09-28,1897,3715
364,2011-09-29,1820,3634
365,2011-09-30,1733,3488
366,2011-10-01,1114,2388
367,2011-10-02,1118,2314
368,2011-10-03,1673,3348
369,2011-10-04,1827,3642
370,2011-10-05,1849,3714
371,2011-10-06,1792,3534
372,2011-10-07,1706,3409
373,2011-10-08,1131,2402
374,2011-10-09,1192,2431
375,2011-10-10,1759,3451
376,2011-10-11,1897,3725
377,2011-10-12,1901,3775
378,2011-10-13,1879,3729
379,2011-10-14,1793,3580
380,2011-10-15,1195,2425
381,2011-10-16,1191,2427
382,2011-10-17,1803,3553
383,2011-10-18,1933,3784
384,2011-10-19,1972,3867
385,2011-10-20,1925,3795
386,2011-10-21,1807,3651
387,2011-10-22,1220,2505
388,2011-10-23,1204,2482
389,2011-10-24,1841,3657
390,2011-10-25,1903,3888
391,2011-10-26,1803,3720
392,2011-10-27,1885,3765
393,2011-10-28,1721,3529
394,2011-10-29,1169,2467
395,2011-10-30,1176,2419
396,2011-10-31,1782,3518
397,2011-11-01,1879,3690
398,2011-11-02,1957,3953
399,2011-11-03,1985,3969
400,2011-11-04,1895,3832
401,2011-11-05,1232,2587
402,2011-11-06,1244,2593
403,2011-11-07,1853,3660
404,2011-11-08,1959,3921
405,2011-11-09,1982,3977
406,2011-11-10,2000,3985
407,2011-11-11,1846,3770
408,2011-11-12,1241,2631
409,2011-11-13,1272,2658
410,2011-11-14,1935,3893
411,2011-11-15,2006,4108
412,2011-11-16,2102,4198
413,2011-11-17,2084,4257
414,2011-11-18,1938,4081
415,2011-11-19,1320,2754
416,2011-11-20,1321,2715
417,2011-11-21,1990,3964
418,2011-11-22,2087,4149
419,2011-11-23,2051,4149
420,2011-11-24,1852,3728
421,2011-11-25,1723,3474
422,2011-11-26,1285,2708
423,2011-11-27,1301,2764
424,2011-11-28,1958,3960
425,2011-11-29,2086,4201
426,2011-11-30,2089,4229
427,2011-12-01,2051,4190
428,2011-12-02,1945,3969
429,2011-12-03,1336,2826
430,2011-12-04,1321,2784
431,2011-12-05,1971,3936
432,2011-12-06,2091,4153
433,2011-12-07,2166,4273
434,2011-12-08,2071,4169
435,2011-12-09,1910,3938
436,2011-12-10,1344,2795
437,2011-12-11,1341,2811
438,2011-12-12,2004,3990
439,2011-12-13,2117,4211
440,2011-12-14,2119,4286
441,2011-12-15,2059,4154
442,2011-12-16,1881,3912
443,2011-12-17,1321,2761
444,2011-12-18,1284,2719
445,2011-12-19,1958,3864
446,2011-12-20,1992,4123
447,2011-12-21,2012,4096
448,2011-12-22,1870,3878
449,2011-12-23,1651,3428
450,2011-12-24,1166,2536
451,2011-12-25,1054,2318
452,2011-12-26,1394,2830
453,2011-12-27,1637,3346
454,2011-12-28,1804,3716
455,2011-12-29,1810,3728
456,2011-12-30,1633,3419
457,2011-12-31,1188,2584
458,2012-01-01,1124,2478
459,2012-01-02,1614,3344
460,2012-01-03,1954,4058
461,2012-01-04,2103,4384
462,2012-01-05,2173,4447
463,2012-01-06,1992,4208
464,2012-01-07,1436,3004
465,2012-01-08,1436,3078
466,2012-01-09,2064,4125
467,2012-01-10,2143,4368
468,2012-01-11,2212,4469
469,2012-01-12,2212,4362
470,2012-01-13,2084,4228
471,2012-01-14,1384,2895
472,2012-01-15,1442,2980
473,2012-01-16,2005,3968
474,2012-01-17,2160,4406
475,2012-01-18,2177,4485
476,2012-01-19,2199,4476
477,2012-01-20,2050,4185
478,2012-01-21,1468,3064
479,2012-01-22,1447,3039
480,2012-01-23,2084,4191
481,2012-01-24,2238,4449
482,2012-01-25,2248,4501
483,2012-01-26,2151,4326
484,2012-01-27,2056,4162
485,2012-01-28,1465,3036
486,2012-01-29,1474,3059
487,2012-01-30,2141,4224
488,2012-01-31,2287,4529
489,2012-02-01,2283,4527
490,2012-02-02,2303,4636
491,2012-02-03,2171,4384
492,2012-02-04,1519,3142
493,2012-02-05,1519,3128
494,2012-02-06,2180,4285
495,2012-02-07,2326,4712
496,2012-02-08,2405,4810
497,2012-02-09,2393,4788
498,2012-02-10,2227,4476
499,2012-02-11,1540,3184
500,2012-02-12,1573,3204
501,2012-02-13,2269,4477
502,2012-02-14,2316,4539
503,2012-02-15,2433,4782
504,2012-02-16,2430,4795
505,2012-02-17,2279,4555
506,2012-02-18,1515,3121
507,2012-02-19,1619,3301
508,2012-02-20,2287,4440
509,2012-02-21,2399,4723
510,2012-02-22,2472,4915
511,2012-02-23,2497,5003
512,2012-02-24,2315,4611
513,2012-02-25,1630,3404
514,2012-02-26,1627,3335
515,2012-02-27,2273,4547
516,2012-02-28,2443,4848
517,2012-02-29,2420,4773
518,2012-03-01,2457,4843
519,2012-03-02,2310,4604
520,2012-03-03,1610,3267
521,2012-03-04,1619,3329
522,2012-03-05,2326,4564
523,2012-03-06,2475,4945
524,2012-03-07,2442,4827
525,2012-03-08,2332,4559
526,2012-03-09,2276,4509
527,2012-03-10,1584,3283
528,2012-03-11,1610,3307
529,2012-03-12,2389,4627
530,2012-03-13,2474,4890
531,2012-03-14,2513,4964
532,2012-03-15,2491,4940
533,2012-03-16,2296,4633
534,2012-03-17,1598,3341
535,2012-03-18,1600,3255
536,2012-03-19,2378,4661
537,2012-03-20,2467,4799
538,2012-03-21,2524,4952
539,2012-03-22,2521,4940
540,2012-03-23,2262,4632
541,2012-03-24,1609,3347
542,2012-03-25,1583,3241
543,2012-03-26,2378,4683
544,2012-03-27,2505,4983
545,2012-03-28,2541,4959
546,2012-03-29,2523,5025
547,2012-03-30,2336,4798
548,2012-03-31,1634,3394
549,2012-04-01,1620,3332
550,2012-04-02,2372,4620
551,2012-04-03,2538,4991
552,2012-04-04,2551,4980
553,2012-04-05,2437,4755
554,2012-04-06,2003,4113
555,2012-04-07,1669,3359
556,2012-04-08,1597,3265
557,2012-04-09,2143,4287
558,2012-04-10,2444,4818
559,2012-04-11,2545,4946
560,2012-04-12,2587,4999
561,2012-04-13,2345,4788
562,2012-04-14,1619,3359
563,2012-04-15,1671,3402
564,2012-04-16,2415,4668
565,2012-04-17,2522,4960
566,2012-04-18,2643,5269
567,2012-04-19,2655,5189
568,2012-04-20,2427,4781
569,2012-04-21,1714,3455
570,2012-04-22,1718,3467
571,2012-04-23,2509,4776
572,2012-04-24,2573,4999
573,2012-04-25,2579,5062
574,2012-04-26,2546,4995
575,2012-04-27,2405,4779
576,2012-04-28,1705,3515
577,2012-04-29,1653,3369
578,2012-04-30,2283,4508
579,2012-05-01,2203,4364
580,2012-05-02,2533,4990
581,2012-05-03,2558,5011
582,2012-05-04,2448,4884
583,2012-05-05,1729,3532
584,2012-05-06,1638,3370
585,2012-05-07,2352,4582
586,2012-05-08,2521,5044
587,2012-05-09,2580,4982
588,2012-05-10,2638,5093
589,2012-05-11,2412,4856
590,2012-05-12,1647,3413
591,2012-05-13,1614,3287
592,2012-05-14,2483,4775
593,2012-05-15,2598,5088
594,2012-05-16,2595,5079
595,2012-05-17,2473,4909
596,2012-05-18,2411,4769
597,2012-05-19,1672,3455
598,2012-05-20,1646,3426
599,2012-05-21,2411,4728
600,2012-05-22,2599,5079
601,2012-05-23,2607,5136
602,2012-05-24,2572,5006
603,2012-05-25,2390,4747
604,2012-05-26,1636,3384
605,2012-05-27,1588,3304
606,2012-05-28,2177,4345
607,2012-05-29,2529,4926
608,2012-05-30,2600,5113
609,2012-05-31,2538,5034
610,2012-06-01,2412,4848
611,2012-06-02,1653,3441
612,2012-06-03,1651,3411
613,2012-06-04,2385,4598
614,2012-06-05,2533,4944
615,2012-06-06,2589,5081
616,2012-06-07,2623,5102
617,2012-06-08,2423,4829
618,2012-06-09,1652,3448
619,2012-06-10,1649,3375
620,2012-06-11,2448,4752
621,2012-06-12,2577,5103
622,2012-06-13,2714,5312
623,2012-06-14,2667,5181
624,2012-06-15,2497,5025
625,2012-06-16,1673,3516
626,2012-06-17,1665,3397
627,2012-06-18,2593,4977
628,2012-06-19,2687,5272
629,2012-06-20,2748,5308
630,2012-06-21,2765,5318
631,2012-06-22,2531,5076
632,2012-06-23,1690,3534
633,2012-06-24,1686,3493
634,2012-06-25,2579,4989
635,2012-06-26,2752,5344
636,2012-06-27,2772,5389
637,2012-06-28,2697,5251
638,2012-06-29,2500,4840
639,2012-06-30,1693,3532
640,2012-07-01,1686,3474
641,2012-07-02,2533,4916
642,2012-07-03,2728,5246
643,2012-07-04,2446,4824
644,2012-07-05,2676,5178
645,2012-07-06,2598,5118
646,2012-07-07,1741,3620
647,2012-07-08,1703,3541
648,2012-07-09,2629,5111
649,2012-07-10,2788,5417
650,2012-07-11,2864,5562
651,2012-07-12,2826,5469
652,2012-07-13,2624,5174
653,2012-07-14,1721,3623
654,2012-07-15,1723,3590
655,2012-07-16,2694,5193
656,2012-07-17,2776,5259
657,2012-07-18,2865,5567
658,2012-07-19,2840,5474
659,2012-07-20,2626,5205
660,2012-07-21,1738,3610
661,2012-07-22,1762,3595
662,2012-07-23,2682,5170
663,2012-07-24,2781,5494
664,2012-07-25,2884,5547
665,2012-07-26,2854,5535
666,2012-07-27,2646,5274
667,2012-07-28,1771,3693
668,2012-07-29,1751,3658
669,2012-07-30,2691,5225
670,2012-07-31,2867,5614
671,2012-08-01,2761,5470
672,2012-08-02,2771,5418
673,2012-08-03,2624,5291
674,2012-08-04,1743,3617
675,2012-08-05,1762,3634
676,2012-08-06,2606,5072
677,2012-08-07,2778,5412
678,2012-08-08,2826,5614
679,2012-08-09,2819,5480
680,2012-08-10,2627,5237
681,2012-08-11,1710,3615
682,2012-08-12,1764,3660
683,2012-08-13,2671,5185
684,2012-08-14,2775,5531
685,2012-08-15,2587,5180
686,2012-08-16,2769,5401
687,2012-08-17,2593,5160
688,2012-08-18,1810,3768
689,2012-08-19,1735,3594
690,2012-08-20,2562,5048
691,2012-08-21,2704,5438
692,2012-08-22,2791,5457
693,2012-08-23,2816,5480
694,2012-08-24,2610,5157
695,2012-08-25,1797,3769
696,2012-08-26,1781,3735
697,2012-08-27,2608,5108
698,2012-08-28,2764,5432
699,2012-08-29,2848,5606
700,2012-08-30,2861,5662
701,2012-08-31,2576,5256
702,2012-09-01,1788,3782
703,2012-09-02,1783,3737
704,2012-09-03,2457,4770
705,2012-09-04,2730,5370
706,2012-09-05,2815,5518
707,2012-09-06,2832,5603
708,2012-09-07,2636,5298
709,2012-09-08,1829,3812
710,2012-09-09,1832,3795
711,2012-09-10,2696,5269
712,2012-09-11,2827,5550
713,2012-09-12,2817,5430
714,2012-09-13,2873,5602
715,2012-09-14,2652,5273
716,2012-09-15,1766,3719
717,2012-09-16,1818,3770
718,2012-09-17,2758,5249
719,2012-09-18,2810,5481
720,2012-09-19,2777,5432
721,2012-09-20,2822,5506
722,2012-09-21,2692,5313
723,2012-09-22,1891,3935
724,2012-09-23,1835,3867
725,2012-09-24,2754,5325
726,2012-09-25,2837,5545
727,2012-09-26,2927,5763
728,2012-09-27,2946,5835
729,2012-09-28,2681,5357
730,2012-09-29,1852,3880
731,2012-09-30,1826,3868
732,2012-10-01,2672,5250
733,2012-10-02,2731,5480
734,2012-10-03,2856,5596
735,2012-10-04,2895,5745
736,2012-10-05,2723,5535
737,2012-10-06,1952,4045
738,2012-10-07,1922,3930
739,2012-10-08,2705,5343
740,2012-10-09,2895,5723
741,2012-10-10,3001,5886
742,2012-10-11,3008,5950
743,2012-10-12,2814,5631
744,2012-10-13,1939,4084
745,2012-10-14,1951,4071
746,2012-10-15,2852,5505
747,2012-10-16,3000,5837
748,2012-10-17,3035,5948
749,2012-10-18,3058,5934
750,2012-10-19,2846,5711
751,2012-10-20,2007,4139
752,2012-10-21,2014,4125
753,2012-10-22,2888,5648
754,2012-10-23,2964,5843
755,2012-10-24,2910,5710
756,2012-10-25,2987,5867
757,2012-10-26,2714,5431
758,2012-10-27,1967,4099
759,2012-10-28,1948,4009
760,2012-10-29,2805,5387
761,2012-10-30,2837,5579
762,2012-10-31,2946,5756
763,2012-11-01,2878,5638
764,2012-11-02,2811,5489
765,2012-11-03,2030,4223
766,2012-11-04,2018,4152
767,2012-11-05,2908,5603
768,2012-11-06,2969,5764
769,2012-11-07,2989,5757
770,2012-11-08,3083,5881
771,2012-11-09,2820,5594
772,2012-11-10,2015,4142
773,2012-11-11,2017,4144
774,2012-11-12,2773,5417
775,2012-11-13,2854,5539
776,2012-11-14,2959,5775
777,2012-11-15,3013,5834
778,2012-11-16,2858,5622
